QP=22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encode Order, Type, POC, QP, Bits, Scenecut, RateFactor, Y PSNR, U PSNR, V PSNR, YUV PSNR, SSIM, SSIM(dB), Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8
0, I-SLICE,0,20.2,1040544,0,25.087,45.352,46.966,46.904,45.748,0.984741,18.165,29,  -, -,0.00%,0.00%,0.00%,3.20%,3.38%,8.61%,5.07%,3.19%,18.59%,5.80%,2.10%,28.39%,21.68%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
1, I-SLICE,1,20.2,1042480,0,25.087,45.36,46.978,46.911,45.756,0.984733,18.162,28,  -, -,0.00%,0.00%,0.00%,2.79%,2.92%,8.09%,5.37%,3.99%,19.17%,6.42%,2.36%,28.28%,20.61%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2, I-SLICE,2,20.19,1044768,0,25.087,45.357,47.006,46.939,45.761,0.984755,18.169,27,  -, -,0.00%,0.00%,0.00%,3.04%,3.34%,8.48%,5.33%,3.70%,20.05%,6.00%,2.06%,28.31%,19.69%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
3, I-SLICE,3,20.2,1043544,0,25.087,45.354,46.992,46.921,45.754,0.98473,18.162,26,  -, -,0.00%,0.00%,0.00%,3.08%,3.49%,8.39%,4.91%,3.48%,20.18%,5.80%,2.11%,29.22%,19.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
4, I-SLICE,4,20.2,1044104,0,25.087,45.364,46.973,46.924,45.76,0.984754,18.168,25,  -, -,0.00%,0.00%,0.00%,3.22%,3.65%,8.37%,4.98%,3.41%,19.34%,6.38%,1.73%,29.58%,19.34%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
5, I-SLICE,5,20.18,1045976,0,25.087,45.358,46.985,46.898,45.754,0.984732,18.162,24,  -, -,0.00%,0.00%,0.00%,3.14%,3.10%,8.37%,5.34%,3.62%,18.57%,6.06%,1.74%,29.23%,20.84%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
6, I-SLICE,6,20.19,1042528,0,25.087,45.36,46.969,46.906,45.754,0.984695,18.152,23,  -, -,0.00%,0.00%,0.00%,3.16%,3.58%,7.77%,4.98%,3.78%,20.45%,6.35%,1.85%,26.97%,21.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
7, I-SLICE,7,20.19,1042672,0,25.087,45.362,46.982,46.921,45.759,0.984709,18.156,22,  -, -,0.00%,0.00%,0.00%,3.37%,3.44%,8.24%,4.96%,3.11%,19.25%,5.96%,1.89%,30.15%,19.63%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
8, I-SLICE,8,20.2,1038520,0,25.087,45.363,46.987,46.89,45.757,0.984711,18.156,21,  -, -,0.00%,0.00%,0.00%,3.26%,3.27%,8.40%,4.75%,3.03%,18.50%,6.70%,2.13%,28.77%,21.19%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
9, I-SLICE,9,20.2,1035760,0,25.087,45.371,46.997,46.915,45.767,0.984721,18.159,20,  -, -,0.00%,0.00%,0.00%,2.82%,3.60%,8.12%,5.42%,3.50%,19.61%,5.71%,1.91%,28.69%,20.62%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
