QP=22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encode Order, Type, POC, QP, Bits, Scenecut, RateFactor, Y PSNR, U PSNR, V PSNR, YUV PSNR, SSIM, SSIM(dB), Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8
0, I-SLICE,0,20.2,1040544,0,25.087,45.352,46.966,46.904,45.748,0.984741,18.165,29,  -, -,0.00%,0.00%,0.00%,3.20%,3.38%,8.61%,5.07%,3.19%,18.59%,5.80%,2.10%,28.39%,21.68%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
1, P-SLICE,1,20.23,259448,0,28,44.362,46.723,46.581,44.935,0.981417,17.309,28,0, -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.05%,0.00%,0.50%,0.00%,1.71%,15.00%,22.81%,26.46%,0.00%,0.45%,2.04%,6.07%,0.02%,1.32%,6.74%,16.83%
2, P-SLICE,2,20.22,293904,0,28,44.287,46.677,46.545,44.868,0.981151,17.247,27, 1 0 , -,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.07%,0.05%,0.00%,0.50%,0.00%,2.00%,14.11%,26.63%,32.09%,0.00%,0.29%,1.98%,5.35%,0.03%,1.00%,4.41%,11.47%
3, P-SLICE,3,20.2,294040,0,28,44.233,46.638,46.537,44.822,0.980955,17.202,26, 2 1 0 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.64%,0.00%,2.18%,15.11%,25.54%,31.96%,0.00%,0.29%,1.98%,5.25%,0.05%,0.84%,3.84%,12.33%
4, P-SLICE,4,20.22,292112,0,28,44.229,46.569,46.483,44.804,0.98089,17.187,25, 3 2 1 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.00%,0.02%,0.70%,0.00%,2.54%,14.05%,26.57%,32.42%,0.00%,0.16%,1.49%,5.44%,0.00%,0.61%,4.42%,11.55%
5, I-SLICE,5,20.18,1045984,0,25.087,45.358,46.985,46.898,45.754,0.984732,18.162,24,  -, -,0.00%,0.00%,0.00%,3.14%,3.10%,8.37%,5.34%,3.62%,18.57%,6.06%,1.74%,29.23%,20.84%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
6, P-SLICE,6,20.21,250048,0,28,44.379,46.72,46.55,44.943,0.981365,17.297,23,5, -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.06%,0.00%,0.58%,0.00%,1.91%,17.04%,22.59%,24.42%,0.00%,0.54%,2.52%,6.22%,0.02%,1.43%,6.42%,16.24%
7, P-SLICE,7,20.26,291488,0,28,44.275,46.677,46.55,44.86,0.98105,17.224,22, 6 5 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.04%,0.02%,0.43%,0.00%,2.60%,16.04%,26.28%,29.61%,0.00%,0.46%,1.92%,6.12%,0.06%,0.97%,4.49%,10.89%
8, P-SLICE,8,20.23,292072,0,28,44.244,46.606,46.53,44.825,0.980913,17.193,21, 7 6 5 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.06%,0.00%,0.47%,0.00%,2.59%,15.37%,26.63%,30.59%,0.00%,0.25%,1.87%,4.85%,0.08%,0.79%,4.12%,12.29%
9, P-SLICE,9,20.19,289440,0,28,44.242,46.563,46.495,44.814,0.980879,17.185,20, 8 7 6 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.02%,0.00%,0.46%,0.00%,2.64%,15.29%,25.38%,30.62%,0.00%,0.25%,2.26%,6.15%,0.06%,1.12%,4.00%,11.71%
