Encode Order, Type, POC, QP, Bits, Scenecut, RateFactor, Y PSNR, U PSNR, V PSNR, YUV PSNR, SSIM, SSIM(dB), Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8
0, I-SLICE,0,23.21,726088,0,25.087,43.686,45.636,45.735,44.186,0.978764,16.729,2,  -, -,0.00%,0.00%,0.00%,3.76%,2.36%,10.11%,6.01%,3.50%,21.58%,6.09%,1.59%,27.63%,17.36%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
1, I-SLICE,1,23.2,724048,0,25.087,43.669,45.644,45.728,44.173,0.978653,16.707,1,  -, -,0.00%,0.00%,0.00%,4.12%,2.45%,9.66%,5.89%,3.04%,21.08%,7.18%,1.69%,28.18%,16.72%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2, I-SLICE,2,23.21,723120,0,25.087,43.68,45.639,45.727,44.181,0.97872,16.72,0,  -, -,0.00%,0.00%,0.00%,3.94%,2.41%,8.90%,6.05%,3.42%,22.34%,6.62%,1.58%,28.40%,16.34%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Command, Date/Time, Elapsed Time, FPS, Bitrate, Y PSNR, U PSNR, V PSNR, Global PSNR, SSIM, SSIM (dB), I count, I ave-QP, I kbps, I-PSNR Y, I-PSNR U, I-PSNR V, I-SSIM (dB), P count, P ave-QP, P kbps, P-PSNR Y, P-PSNR U, P-PSNR V, P-SSIM (dB), B count, B ave-QP, B kbps, B-PSNR Y, B-PSNR U, B-PSNR V, B-SSIM (dB), MaxCLL, MaxFALL, Version,,,,,,
 --input Bosphorus.yuv -f 3 --input-res 1920x1080 --fps 120 --log-level 2 --csv logBosphorusIvP.csv --csv-log-level 1 --qpfile qp3.txt --ssim --psnr -o Bosphorus3I.mp4, Tue May  5 10:04:25 2020,4.28,0.7,86930.24,43.678,45.64,45.73,44.18,0.978712,16.719,3,23.21,86930.24,43.678,45.64,45.73,16.719, -, -, -, -, -, -, -, -, -, -, -, -, -, -,241,155,2.6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encode Order, Type, POC, QP, Bits, Scenecut, RateFactor, Y PSNR, U PSNR, V PSNR, YUV PSNR, SSIM, SSIM(dB), Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8
0, I-SLICE,0,23.21,726088,0,25.087,43.686,45.636,45.735,44.186,0.978764,16.729,2,  -, -,0.00%,0.00%,0.00%,3.76%,2.36%,10.11%,6.01%,3.50%,21.58%,6.09%,1.59%,27.63%,17.36%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
1, P-SLICE,1,23.31,126856,0,28,42.864,45.539,45.574,43.537,0.975188,16.053,1,0, -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.02%,0.00%,0.31%,0.00%,2.30%,15.03%,19.41%,17.03%,0.00%,0.99%,3.76%,7.11%,0.18%,4.37%,11.11%,18.34%
2, P-SLICE,2,23.31,162992,0,28,42.757,45.528,45.551,43.453,0.974716,15.972,0, 1 0 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.06%,0.04%,0.39%,0.00%,2.99%,15.91%,24.65%,22.34%,0.00%,0.61%,3.27%,5.00%,0.32%,2.27%,9.00%,13.12%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Command, Date/Time, Elapsed Time, FPS, Bitrate, Y PSNR, U PSNR, V PSNR, Global PSNR, SSIM, SSIM (dB), I count, I ave-QP, I kbps, I-PSNR Y, I-PSNR U, I-PSNR V, I-SSIM (dB), P count, P ave-QP, P kbps, P-PSNR Y, P-PSNR U, P-PSNR V, P-SSIM (dB), B count, B ave-QP, B kbps, B-PSNR Y, B-PSNR U, B-PSNR V, B-SSIM (dB), MaxCLL, MaxFALL, Version,,,,,,
 --input Bosphorus.yuv -f 3 --input-res 1920x1080 --fps 120 --log-level 2 --csv logBosphorusIvP.csv --csv-log-level 1 --qpfile qp3.txt --ssim --psnr -o Bosphorus3P.mp4, Tue May  5 10:05:23 2020,4.31,0.7,40637.44,43.102,45.568,45.62,43.725,0.976223,16.238,1,23.21,87130.56,43.686,45.636,45.735,16.729,2,23.31,17390.88,42.811,45.534,45.562,16.012, -, -, -, -, -, -, -,241,155,2.6,,,,,,
